"Name","Short Name","Description","Types","Latitude","Longitude"
"Jenner Headlands",JENN,"Jenner Headlands Sonoma Land Trust property- grazed grasslands","Study Area",38.477251740551,-123.10696246396
"Jenner Headlands A",JH_A,,"Point Count Transect",,
JH_A01,JH_A01,,"Point Count Point",38.4533484644,-123.122275054
JH_A02,JH_A02,,"Point Count Point",38.4514362932,-123.123784609
JH_A03,JH_A03,,"Point Count Point",38.4531905447,-123.126710098
JH_A04,JH_A04,"10-MAY-10 9:23:02AM","Point Count Point",38.4550580346,-123.124879597
JH_A05,JH_A05,,"Point Count Point",38.4568854011,-123.126842635
JH_A06,JH_A06,,"Point Count Point",38.4582947911,-123.123578559
JH_A07,JH_A07,,"Point Count Point",38.460324116,-123.122069053
JH_A08,JH_A08,,"Point Count Point",38.4584795126,-123.119257856
JH_A09,JH_A09,,"Point Count Point",38.4552232727,-123.122014614
JH_A10,JH_A10,,"Point Count Point",38.4557942218,-123.118921061
JH_A11,JH_A11,,"Point Count Point",38.4540117828,-123.116958325
JH_A12,JH_A12,,"Point Count Point",38.4544561491,-123.114151109
JH_A13,JH_A13,,"Point Count Point",38.4567079365,-123.115438324
JH_A14,JH_A14,,"Point Count Point",38.4587798188,-123.116370018
JH_A15,JH_A15,,"Point Count Point",38.4610404424,-123.117806399
"Jenner Headlands B",JH_B,,"Point Count Transect",,
"Jenner Headlands C",JH_C,,"Point Count Transect",,
"Jenner Headlands D",JH_D,,"Point Count Transect",,
"Jenner Headlands E",JH_E,,"Point Count Transect",,
"Jenner Headlands F",JH_F,,"Point Count Transect",,
JH_B01,JH_B01,,"Point Count Point",38.4625689556,-123.121293405
JH_B02,JH_B02,,"Point Count Point",38.4622324308,-123.124227159
JH_B03,JH_B03,,"Point Count Point",38.4606889588,-123.12645959
JH_B04,JH_B04,,"Point Count Point",38.458016536,-123.130844684
JH_B05,JH_B05,,"Point Count Point",38.45758885,-123.134477189
JH_B06,JH_B06,,"Point Count Point",38.4615239244,-123.129360951
JH_B07,JH_B07,,"Point Count Point",38.4635638647,-123.126441685
JH_B08,JH_B08,,"Point Count Point",38.4640011387,-123.130385535
JH_B09,JH_B09,,"Point Count Point",38.4622505295,-123.132388265
JH_B10,JH_B10,,"Point Count Point",38.4657618391,-123.127362542
JH_C01,JH_C01,,"Point Count Point",38.4715261235,-123.130548112
JH_C02,JH_C02,,"Point Count Point",38.4713586522,-123.135179115
JH_C03,JH_C03,,"Point Count Point",38.4689770185,-123.137260979
JH_C04,JH_C04,,"Point Count Point",38.4677453206,-123.134702384
JH_C05,JH_C05,,"Point Count Point",38.4680552517,-123.131607923
JH_C06,JH_C06,,"Point Count Point",38.4693836757,-123.12833183
JH_C07,JH_C07,"10-MAY-10 11:21:45AM","Point Count Point",38.4698115612,-123.124331869
