"Name","Short Name","Description","Types","Latitude","Longitude"
Codora,CODO_1,,"Point Count Point",39.44317,-121.99778
Codora,CODO_2,,"Point Count Point",39.44228,-121.99811
Codora,CODO_3,,"Point Count Point",39.44225,-121.99983
Codora,CODO_4,,"Point Count Point",39.44011,-122.0012
Codora,CODO_6,,"Point Count Point",39.44147,-122.00117
Codora,CODO_10,,"Point Count Point",39.44772,-121.99794
Codora,CODO_11,,"Point Count Point",39.44422,-121.998
Codora,CODO_12,,"Point Count Point",39.45169,-122.00686
Codora,CODO_13,,"Point Count Point",39.45125,-122.00864
Codora,CODO_14,,"Point Count Point",39.45272,-122.00869
Ohm,OHM_2,,"Point Count Point",39.96285,-122.04571
Millar,MILL_1,,"Point Count Point",39.61551,-121.99343
Millar,MILL_2,,"Point Count Point",39.61551,-121.99232
Millar,MILL_3,,"Point Count Point",39.61389,-121.99386
Millar,MILL_4,,"Point Count Point",39.61205,-121.99331
Millar,MILL_5,,"Point Count Point",39.61061,-121.99366
Millar,MILL_6,,"Point Count Point",39.60915,-121.99348
Millar,MILL_7,,"Point Count Point",39.60805,-121.99355
"Pine Creek",PICR_19,,"Point Count Point",39.64474,-121.90225
Beehive,BEHI_1,,"Point Count Point",39.47586,-122.01154
Beehive,BEHI_2,,"Point Count Point",39.4747,-122.01289
Beehive,BEHI_3,,"Point Count Point",39.473,-122.01388
Beehive,BEHI_4,,"Point Count Point",39.47185,-122.01226
Beehive,BEHI_5,,"Point Count Point",39.47034,-122.01211
Beehive,BEHI_6,,"Point Count Point",39.46994,-122.0081
Beehive,BEHI_7,,"Point Count Point",39.47035,-122.01033
Beehive,BEHI_8,,"Point Count Point",39.47221,-122.01094
Beehive,BEHI_9,,"Point Count Point",39.47205,-122.01178
Beehive,BEHI_10,,"Point Count Point",39.46946,-122.00974
Beehive,BEHI_11,,"Point Count Point",39.47636,-122.01424
Beehive,BEHI_12,,"Point Count Point",39.47837,-122.0153
"Bidwell-Sacramento River Park",BRSP_2,,"Point Count Point",39.70491,-121.94141
"Bidwell-Sacramento River Park",BRSP_3,,"Point Count Point",39.70615,-121.94097
"Bidwell-Sacramento River Park",BRSP_4,,"Point Count Point",39.70764,-121.94036
"Bidwell-Sacramento River Park",BRSP_5,,"Point Count Point",39.70689,-121.93851
"Bidwell-Sacramento River Park",BRSP_6,,"Point Count Point",39.70815,-121.93699
"Bidwell-Sacramento River Park",BRSP_7,,"Point Count Point",39.70647,-121.93714
"Bidwell-Sacramento River Park",BRSP_8,,"Point Count Point",39.70542,-121.93892
"Bidwell-Sacramento River Park",BRSP_9,,"Point Count Point",39.71728,-121.94608
"Bidwell-Sacramento River Park",BRSP_10,,"Point Count Point",39.727,-121.94574
"Bidwell-Sacramento River Park",BRSP_11,,"Point Count Point",39.7283,-121.94619
"Bidwell-Sacramento River Park",BRSP_12,,"Point Count Point",39.7301,-121.94632
"Bidwell-Sacramento River Park",BRSP_13,,"Point Count Point",39.73137,-121.94675
"Bidwell-Sacramento River Park",BRSP_14,,"Point Count Point",39.72267,-121.94618
"Bidwell-Sacramento River Park",BRSP_15,,"Point Count Point",39.74349,-121.96439
"Bidwell-Sacramento River Park",BRSP_16,,"Point Count Point",39.74504,-121.96594
Colusa,COLU_1,,"Point Count Point",39.21944,-122.01336
Colusa,COLU_2,,"Point Count Point",39.21932,-122.01177
Colusa,COLU_3,,"Point Count Point",39.22097,-122.01527
Colusa,COLU_4,,"Point Count Point",39.22151,-122.01258
Colusa,COLU_5,,"Point Count Point",39.22223,-122.01083
Colusa,COLU_6,,"Point Count Point",39.22254,-122.00933
Colusa,COLU_7,,"Point Count Point",39.22151,-122.00932
Colusa,COLU_8,,"Point Count Point",39.22076,-122.01108
Colusa,COLU_9,,"Point Count Point",39.22006,-122.01689
Flynn,FLYN_1,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_2,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_3,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_4,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_5,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_6,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_7,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_8,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_9,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_10,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_11,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_12,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_13,,"Point Count Point",39.93496,-122.03623
Flynn,FLYN_14,,"Point Count Point",39.93496,-122.03623
Haleakala,HALE_1,,"Point Count Point",40.07615,-122.13603
Haleakala,HALE_2,,"Point Count Point",40.07537,-122.13358
Haleakala,HALE_3,,"Point Count Point",40.07435,-122.13147
Haleakala,HALE_4,,"Point Count Point",40.07448,-122.12833
Haleakala,HALE_5,,"Point Count Point",40.07647,-122.13264
