"Name","Short Name","Description","Types","Latitude","Longitude"
"Vera Neal [study area]",VENE,polygon,"Study Area",40.7556310763,-121.940132753
"Vera Neal AS North",VENENO,,"Area Search Plot",40.7584803713,-121.937780877
"Vera Neal AS South",VENESO,polygon,"Area Search Plot",40.7544141792,-121.939578162
SHA-NA-01,SHA-NA-01,polygon,"Study Area",40.3815642463,-122.430455348
KEDE,KEDE,,"Point Count Transect",40.3746606405,-122.43513856
KEDE-01,KEDE-01,point,"Point Count Point",40.3746606405,-122.43513856
KEDE-02,KEDE-02,point,"Point Count Point",40.3749393405,-122.43272055
KEDE-03,KEDE-03,point,"Point Count Point",40.3755925405,-122.43038527
KEDE-04,KEDE-04,point,"Point Count Point",40.3764428005,-122.42812324
KEDE-05,KEDE-05,point,"Point Count Point",40.3774141805,-122.42590237
SHA-12-03,SHA-12-03,polygon,"Study Area",40.5780679614,-122.149425476
CLOV,CLOV,point,"Point Count Transect",40.5751665491,-122.132589903
CLOV-07,CLOV-07,point,"Point Count Point",40.5751665491,-122.132589903
CLOV-08,CLOV-08,point,"Point Count Point",40.5744004437,-122.134818744
CLOV-09,CLOV-09,point,"Point Count Point",40.573275946,-122.136744463
CLOV-10,CLOV-10,point,"Point Count Point",40.57174179035363,-122.13836945214616
CLOV-11,CLOV-11,point,"Point Count Point",40.5714638707,-122.14146685
CLOV-12,CLOV-12,point,"Point Count Point",40.5697491007,-122.14267678
CLOV-13,CLOV-13,point,"Point Count Point",40.5690990807,-122.14495967
CLOV-14,CLOV-14,point,"Point Count Point",40.5690594407,-122.14740467
SHA-12-06,SHA-12-06,polygon,"Study Area",40.5794628243,-122.095267148
JSRA,JSRA,transect,"Point Count Transect",40.5931626908,-122.10876485
JSRA-01,JSRA-01,point,"Point Count Point",40.5931626908,-122.10876485
JSRA-02,JSRA-02,point,"Point Count Point",40.5919989408,-122.11134086
JSRA-03,JSRA-03,point,"Point Count Point",40.5901374908,-122.11259522
JSRA-04,JSRA-04,point,"Point Count Point",40.5884308508,-122.11426414
JSRA-05,JSRA-05,point,"Point Count Point",40.5867346908,-122.11546149
JSRA-06,JSRA-06,point,"Point Count Point",40.5849381108,-122.11657595
SHA-12-02,SHA-12-02,polygon,"Study Area",40.4575294661,-122.21094148
CHGA,CHGA,point,"Point Count Transect",40.4525332106,-122.22003462
CHGA-01,CHGA-01,point,"Point Count Point",40.4558928506,-122.22156515
CHGA-02,CHGA-02,point,"Point Count Point",40.4540714606,-122.22145451
CHGA-03,CHGA-03,point,"Point Count Point",40.4525332106,-122.22003462
CHGA-04,CHGA-04,point,"Point Count Point",40.4506593506,-122.2192577
CHGA-05,CHGA-05,point,"Point Count Point",40.4488414906,-122.21854817
"Experimental Grassland Surveys",CA_GRASSLAND,"This is the data repository for the new grassland bird survey method being tested and developed for NRCS. Ask Ryan D. or Geoff G. for more details.","Study Area",,
"TomKat pastures",TOMKAT,,"Study Area",,
"TomKat 142",TK142,"plot near point count station 142","Area Search Plot",37.257659,-122.356839
"TomKat 82",TK82,"near point count station 82","Area Search Plot",37.259674,-122.348042
TomKat10,TK10,,"Area Search Plot",37.2674465893,-122.375186683
"Santa Lucia Preserve",SLP,,"Study Area",,
"SLP ungrazed 1",SLP-UG1,,"Area Search Plot",36.4603123961,-121.803638308
"SLP ungrazed 2",SLP-UG2,,"Area Search Plot",36.457514707,-121.803888305
"SLP grazed 1",SLP-G-1,,"Area Search Plot",36.4596488227,-121.807840028
"SLP grazed 2",SLP-G-2,,"Area Search Plot",36.4596661402,-121.809993672
"Hollister Hills SVRA",HHSVRA,"Grazed buffer lands and riparian around the Hollister Hills SVRA","Study Area",,
"Upper Hudner ",UPHUPASTURE,,"Area Search Plot",36.7843825457,-121.402863417
"Upper Bird Creek Pasture",UBCPASTURE,,"Area Search Plot",36.7800561589,-121.403128577
"Upper Bird Creek Riparian",UBCRIPARIAN,,"Area Search Plot",36.7792866545,-121.402417817
"Lower Bird Creek pasture",LBCPASTURE,,"Area Search Plot",36.7828698524,-121.400025119
"Hudner Pond pasture",HUPOPASTURE,,"Area Search Plot",36.7868111245,-121.399614287
"Nardella WRP",NARD,,"Study Area",,
"Nardella LU-1",NARD-1,,"Area Search Plot",41.640672,-120.205686
"Nardella LU-2",NARD-2,,"Area Search Plot",41.641081,-120.198975
"Nardella LU-4",NARD-4,,"Area Search Plot",41.640656,-120.198326
"Nardella LU-5",NARD-5,,"Area Search Plot",41.640656,-120.206501
"Nardella LU-7",NARD-7,,"Area Search Plot",41.642516,-120.19618
"Nardella LU-3",NARD-3,,"Area Search Plot",41.639116,-120.202961
"Nardella LU-6",NARD-6,,"Area Search Plot",41.635235,-120.202146
"McArthur WRP",MCARTHUR,,"Study Area",,
"McArthur 18","MC 18",,"Area Search Plot",41.0978829818,-121.140622541
"McArthur 4","MC 4",,"Area Search Plot",41.1271651664,-121.162038375
"McArthur 4 riparian","MC 4R",,"Area Search Plot",41.1293188621,-121.157155983
"McArthur 15","MC 15",,"Area Search Plot",41.106713672,-121.143138904
"McArthur 17","MC 17",,"Area Search Plot",41.101516129,-121.141996858
