"Name","Short Name","Description","Types","Latitude","Longitude"
"Santa Clara County",SAN,,"Study Area",,
SVOS,SVOS,"Sierra Vista","Point Count Transect",,
SVOS-01,SVOS-01,point,"Point Count Point",37.408418063678,-121.78389378404
SVOS-02,SVOS-02,point,"Point Count Point",37.410700028599,-121.78668173389
SVOS-06,SVOS-06,point,"Point Count Point",37.406338216348,-121.80087549371
SVOS-07,SVOS-07,point,"Point Count Point",37.404170888776,-121.80938384788
SVOS-09,SVOS-09,point,"Point Count Point",37.41084412989,-121.80080366404
SVOS-13,SVOS-13,point,"Point Count Point",37.410815444537,-121.79797926998
SVOS-21,SVOS-21,point,"Point Count Point",37.390160054941,-121.76159627017
SVOS-26,SVOS-26,point,"Point Count Point",37.385683727265,-121.76449380439
SVOS-23,SVOS-23,point,"Point Count Point",37.404142412701,-121.80655969545
SVOS-25,SVOS-25,point,"Point Count Point",37.410786691731,-121.79515487992
