"Name","Short Name","Description","Types","Latitude","Longitude"
SMA-11-01,SMA-11-01,"17-MAY-10 16:30","Study Area",37.261899366,-122.360440937
HOCR,HOCR,"Point count transect along Honsinger Creek","Point Count Transect",,
HOCR-001,HOCR-001,"19-MAY-10 13:11","Point Count Point",37.2551914243,-122.365166157
HOCR-002,HOCR-002,"19-MAY-10 13:27","Point Count Point",37.2562230136,-122.364232808
HOCR-003,HOCR-003,"17-MAY-10 16:07","Point Count Point",37.2569097171,-122.362862538
HOCR-004,HOCR-004,"17-MAY-10 16:15","Point Count Point",37.258223196,-122.362389117
HOCR-005,HOCR-005,"17-MAY-10 16:21","Point Count Point",37.2592171875,-122.361174079
HOCR-006,HOCR-006,"17-MAY-10 16:26","Point Count Point",37.260604897,-122.361094694
HOCR-007,HOCR-007,"17-MAY-10 16:30","Point Count Point",37.261899366,-122.360440937
HOCR-008,HOCR-008,"17-MAY-10 16:37","Point Count Point",37.2631392012,-122.35968612
HOCR-009,HOCR-009,"17-MAY-10 16:48","Point Count Point",37.2644727668,-122.359595883
HOCR-010,HOCR-010,"17-MAY-10 17:17","Point Count Point",37.2656582706,-122.358796374
HOCR-011,HOCR-011,"17-MAY-10 17:27","Point Count Point",37.2669081468,-122.358233138
HOCR-012,HOCR-012,"17-MAY-10 17:43","Point Count Point",37.2681488841,-122.357647403
AS01,"AS PLOT 1","Patch of willows from the reservoir up the wash through the edge of the main patch, including next 2 small patches and ending at the 1st pine tree in the wash (at WGS84: 555009 4124667)","Area Search Plot",37.304645,-122.395935
AS02,"AS PLOT 2","This is a small plot covering the willows by the entrance gates on stage road.  It extends from the cattle guard (on road to reservoir) at the west (down-drainage) side, until the drainpipe from the road to the north at the east side","Area Search Plot",37.270202,-122.384359
AS03,"AS PLOT 3","This plot is of the riparian zone to the south of the hay field above the horse barn and pastures.  It includes all the riparian vegetation from approximately 557125 4123505 at the West end to 557125 4123505 at the East end (by the water storage tank). This has to be surveyed from the edge of the riparian/coastal scrub on the north side.","Area Search Plot",37.256698,-122.358127
TOKA-001,TOKA-001,point,"Point Count Point",37.2652672486,-122.384655208
TOKA-002,TOKA-002,point,"Point Count Point",37.2670699491,-122.384640539
TOKA-003,TOKA-003,point,"Point Count Point",37.2706753486,-122.384611198
TOKA-004,TOKA-004,point,"Point Count Point",37.2652555037,-122.382399684
TOKA-005,TOKA-005,point,"Point Count Point",37.2670582035,-122.382384961
TOKA-006,TOKA-006,point,"Point Count Point",37.2652437158,-122.380144161
TOKA-007,TOKA-007,point,"Point Count Point",37.2688491133,-122.380114607
TOKA-008,TOKA-008,point,"Point Count Point",37.2706518112,-122.380099827
TOKA-009,TOKA-009,point,"Point Count Point",37.2634291861,-122.377903468
TOKA-010,TOKA-010,point,"Point Count Point",37.270639978,-122.377844144
TOKA-011,TOKA-011,point,"Point Count Point",37.2652200111,-122.375633118
TOKA-012,TOKA-012,point,"Point Count Point",37.2688254055,-122.375603349
TOKA-013,TOKA-013,point,"Point Count Point",37.2706161828,-122.373332782
TOKA-014,TOKA-014,point,"Point Count Point",37.2651961346,-122.371122081
TOKA-015,TOKA-015,point,"Point Count Point",37.2669988305,-122.37110709
TOKA-016,TOKA-016,point,"Point Count Point",37.2688015259,-122.371092097
TOKA-017,TOKA-017,point,"Point Count Point",37.2651841319,-122.368866565
TOKA-018,TOKA-018,point,"Point Count Point",37.2723949092,-122.368806376
TOKA-019,TOKA-019,point,"Point Count Point",37.2741976021,-122.368791325
TOKA-020,TOKA-020,point,"Point Count Point",37.2760002945,-122.368776273
