"Study Area","Transect Name","Point Id","Date","Point Index","Direction","Canopy1","Canopy2","Canopy3","Top Layer","Height","Lower1","Lower2","Lower3","Lower4","Lower5","Lower6","Lower7","Lower8","Lower9","Lower10","Soil Surface","Thatch Indices Lower","Thatch Top Layer"
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,1,,TRRI2,,,,,TRRI2,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,2,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,3,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,4,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,5,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,6,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,7,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,8,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,9,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,10,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,11,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,12,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,13,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,14,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,15,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,16,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,17,,,,,,,,,,,,,,,,,,,0
"La Baranca [studyarea]","La Baranca",LABA_15,2017-05-11,18,,,,,,,,,,,,,,,,,,,0
