"Study Area","Transect Name","Point Id","Date","Point Index","Direction","Canopy1","Canopy2","Canopy3","Top Layer","Height","Lower1","Lower2","Lower3","Lower4","Lower5","Lower6","Lower7","Lower8","Lower9","Lower10","Soil Surface","Thatch Indices Lower","Thatch Top Layer"
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,1,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,2,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,3,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,4,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,5,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,6,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,7,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,8,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,9,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,10,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,11,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,12,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,13,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,14,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,15,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,16,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,17,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,18,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,19,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,20,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,21,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,22,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,23,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,24,,,,,,,,,,,,,,,,,,,0
"Marin County Open Space (study area)","French Ranch (Point Count Transect)",FRRA01,2019-06-06,25,,,,,,,,,,,,,,,,,,,0
