"Study Area","Transect Name","Point Id","Date","Point Index","Direction","Canopy1","Canopy2","Canopy3","Top Layer","Height","Lower1","Lower2","Lower3","Lower4","Lower5","Lower6","Lower7","Lower8","Lower9","Lower10","Soil Surface","Thatch Indices Lower","Thatch Top Layer"
"Santa Clara County",SVOS,SVOS-01,2019-07-18,1,30,,,,BRDI3,24,LOPEM2,AVBA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,2,30,,,,AVBA,56,LOPEM2,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,3,30,,,,LOPEM2,46,AVBA,BRHO2,BRDI3,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,4,30,,,,AVFA,39,LOPEM2,BRDI3,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,5,30,,,,AVBA,30,LOPEM2,BRHO2,MEPO3,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,6,30,,,,LOPEM2,38,AVBA,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,7,30,,,,LOPEM2,46,AVBA,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,8,30,,,,AVBA,50,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,9,30,,,,LOPEM2,35,AVFA,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,10,30,,,,AVBA,21,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,11,30,,,,AVBA,24,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,12,30,,,,AVBA,26,BRDI3,LOPEM2,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,13,30,,,,LOPEM2,28,MEPO3,AVBA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,14,30,,,,LOPEM2,36,BRHO2,MEPO3,AVBA,L,,,,,,,S,,0
