"Study Area","Transect Name","Point Id","Event Date","Vegetation Type","USDA Code","Percent Cover","Height"
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,AICA,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,ANAR,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,shrubs,BAPI,4,60
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,CEME2,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,DAPU3,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,ELGLG,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,ERCI6,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,HOCA3,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,HYGL2,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,HYRA3,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,KOMA,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,LIBI5,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,shrubs,LUVE,1,24
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,MOVIF3,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,SIBE,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,SIGA,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,SOAS,,
"Estero Americano","Estero Americano",EA_01,2022-05-23,grassesAndForbs,VUBR,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,ACMI2,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,AGHA2,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,AICA,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,BRODI,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,CALYS,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,CIVU,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,CYEC,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,DAPU3,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,DIDO3,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,HECO7,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,KOMA,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,LOUT,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,LUSUS,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,MAOR3,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,PSEUD43,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,RUAC3,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,RUCR,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,SIBE,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,SOAS,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,SOOL,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,TRLA16,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,VIHI,,
"Estero Americano","Estero Americano",EA_06,2022-05-23,grassesAndForbs,WYAN,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,CAREX,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,JUNCU,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,ACMI2,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,AGHA2,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,AICA,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,ANOD,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,shrubs,BAPI,15,65
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,BRTE4,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,CALYS,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,CAPY2,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,CIVU,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,ESCA2,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,HECR2,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,KOMA,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,LOCO6,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,shrubs,LUVE,1,45
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,MAOR3,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,POAN,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,shrubs,ROCA2,1,20
"Estero Americano","Estero Americano",EA_07,2022-05-23,shrubs,RUUR,1,15
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,SIGA,,
"Estero Americano","Estero Americano",EA_07,2022-05-23,grassesAndForbs,2GP,,
