"Study Area","Transect Name","Point Id","Event Date","Vegetation Type","USDA Code","Percent Cover","Height"
"Pine Creek [studyarea]","Pine Creek",PICR_11,2016-04-27,shrubs,ACNE2,0,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2016-04-27,trees,AIAL,1,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2016-04-27,grassesAndForbs,ARDO3,0,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2016-04-27,shrubs,BAPI,1,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2016-04-27,trees,FICA,4,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2016-04-27,trees,POFR,1,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2016-04-27,shrubs,RUAR9,1,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2016-04-27,shrubs,SANI4,4,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2016-04-27,grassesAndForbs,TACA8,0,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,trees,ACNE2,1,4
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,ARDO3,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,shrubs,BAPI,2,200
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,BRNI,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,CIVU,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,COAR4,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,ELGL,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,ERODI,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,trees,FICA,1,3
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,HELEN,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,shrubs,HYPE,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,LASE,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,LETE8,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,LETR5,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,MADI6,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,trees,POBAT,1,9
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,POMO5,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,shrubs,ROCA2,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,RUCR,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,shrubs,RUUR,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,trees,SANI4,1,4
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,SOAS,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,grassesAndForbs,VEPE3,,
"Pine Creek [studyarea]","Pine Creek",PICR_11,2017-05-30,shrubs,VICA5,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2016-04-28,shrubs,ACNE2,1,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2016-04-28,shrubs,BAPI,1,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2016-04-28,trees,POFR,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2016-04-28,shrubs,ROCA2,0,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2016-04-28,shrubs,SALIX,1,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2016-04-28,trees,SALIX,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2016-04-28,shrubs,SANI4,4,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,trees,ACGL,1,4
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,ANAR,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,ANCA14,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,shrubs,BAPI,2,200
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,ESLE,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,HYPE,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,LUNA3,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,PLLA,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,POBU,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,POMO5,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,trees,SANI4,5,4
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,SOAS,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,TRHI4,,
"Pine Creek [studyarea]","Pine Creek",PICR_12,2017-05-30,grassesAndForbs,VIVI,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2016-04-28,grassesAndForbs,CEGL,0,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2016-04-28,grassesAndForbs,CIVU,0,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2016-04-28,grassesAndForbs,GALIU,0,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2016-04-28,grassesAndForbs,LASE,0,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2016-04-28,grassesAndForbs,RAPHA,0,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,APAR2,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,CIVU,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,ERBO,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,ERCI6,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,HAGL,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,SOAS,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,TRDU,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,TRDU2,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,TRMI4,,
"Pine Creek [studyarea]","Pine Creek",PICR_23,2017-05-04,grassesAndForbs,VIVI,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2016-04-28,shrubs,BACCH,0,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2016-04-28,grassesAndForbs,BRASS2,0,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2016-04-28,grassesAndForbs,LASE,0,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2016-04-28,grassesAndForbs,TORIL,0,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,shrubs,BAPI,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,BRDI3,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,BRRU2,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,CAAT25,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,COAR4,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,ERCI6,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,GAPA5,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,HYGL2,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,MURI2,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,PLLA,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,RARA2,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,shrubs,ROCA2,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,RUCR,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,TAOF,,
"Pine Creek [studyarea]","Pine Creek",PICR_28,2017-05-08,grassesAndForbs,TRDU2,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2016-04-28,shrubs,BAPI,1,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2016-04-28,trees,PLRA,1,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2016-04-28,trees,QULO,1,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2016-04-28,shrubs,ROCA2,0,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2016-04-28,shrubs,SANI4,0,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,CYPER,,
