"Study Area","Transect Name","Point Id","Event Date","Vegetation Type","USDA Code","Percent Cover","Height"
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,RUMEX,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,ANAR,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,ANCA14,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,BETR,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,BRMI2,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,CADED3,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,CAOV4,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,CAPY2,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,PEKE,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,SIBE,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,TACA8,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,TRHI4,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,VIBE,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,VISA,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU06,2019-04-24,grassesAndForbs,ZIFR,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,ACMI2,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,shrubs,BAPI,1,200
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,BRCA6,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,CALYS,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,CAOV4,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,ESCA2,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,IRDO,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,PLLA,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,RUAC3,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,SIMA2,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,SIMA3,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,TRHI4,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,WYAN,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU17,2019-04-03,grassesAndForbs,ZIFR,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU21,2019-04-24,grassesAndForbs,ACMI2,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU21,2019-04-24,grassesAndForbs,ANAR,,
"Marin County Open Space (study area)","Mt Burdell (Point Count Transect)",MTBU21,2019-04-24,shrubs,BAPI,3,175
