"Study Area","Transect Name","Point Id","Event Date","Vegetation Type","USDA Code","Percent Cover","Height"
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,AVENA,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,BRDI3,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,BRHO2,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,BRMI,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,BRNI,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,CESO3,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,COAR4,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,COCAC3,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,CYGI,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,ERODI,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,GEDI,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,HOMU,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,HYPER,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,JUBU,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,LETR5,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,LOPEM2,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,LOTUS,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,MEPO3,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,NAPU4,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,PLLA,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,POBO,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,shrubs,ROSA5,1,150
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,RUAR9,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,RUCR,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,trees,SANI4,1,200
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,SIMA3,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,STME2,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,TOAR,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,TRDU2,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,TRHI4,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,TRIFO,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,VIVI,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,VUMI,,
SHA-12-02,CHGA,CHGA-03,2018-05-21,grassesAndForbs,ASTERA,,
