"Study Area","Transect Name","Point Id","Event Date","Vegetation Type","USDA Code","Percent Cover","Height"
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,AMSIN,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,ANAR,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,CAPY2,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,CHPO3,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,HYGL2,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,LAAU,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,LETR5,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,MIGU,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,NAPU4,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,RUPU3,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,trees,SALIX,5,70
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,SIMA3,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,TRHI4,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,TRIFO,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,URTIC,,
"Santa Clara County",SVOS,SVOS-01,2019-07-18,grassesAndForbs,UNKNWN,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,AMSIN,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,BETR,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,BRASS2,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,CASTI2,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,ESCA2,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,HYGL2,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,LUBI,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,LUPIN,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,RUPU3,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,SIMA3,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,TRLA16,,
"Santa Clara County",SVOS,SVOS-02,2019-05-22,grassesAndForbs,VICIA,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,CHPO3,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,CRVET,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,ERIOG,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,LUFO2,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,SABI3,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,SIMA3,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,TRCI,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,VISA,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,VIVI,,
"Santa Clara County",SVOS,SVOS-06,2019-04-22,grassesAndForbs,VUBR,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,AMMEI2,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,BRCA5,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,BRRU2,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,CHPO3,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,CLPA5,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,ERIOG,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,HESE,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,LIAF,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,LUBI,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,LUNA3,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,MECA2,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,PLAGI,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,RACA2,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,SABI2,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,SABI3,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,SIBE,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,TRLA16,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,TROL,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,VISA,,
"Santa Clara County",SVOS,SVOS-09,2019-04-22,grassesAndForbs,VIVI,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,ACMO2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,AMME,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,ANAR,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,BRCA5,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,BRRU2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,CAEX14,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,CAPY2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,CEGL2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,CLARK,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,CRVET,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,ERIOG,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,ESCA2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,GITR2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,HESE,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,HYGL2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,LOGA2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,LOHU2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,LUBI,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,LUFO2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,PLCA2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,SABI2,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,SABI3,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,SIBE,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,TRHI4,,
"Santa Clara County",SVOS,SVOS-13,2019-04-22,grassesAndForbs,WYAN,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,shrubs,ARCA11,1,2000
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,CHPO3,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,CRCO34,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,CRVET,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,DICA14,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,EPCA3,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,ERIOG,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,LOHU2,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,LUSUS,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,MELI4,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,MOVI2,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,SIGA,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,SIMA3,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,TRCI,,
"Santa Clara County",SVOS,SVOS-23,2019-04-22,grassesAndForbs,VIPE3,,
