"Study Area","Transect Name","PointId","Observer","Date","DBH LT 23cm","DBH GT 38cm","DBH 23cm To 38cm","Snags","Grazing","Notes"
SHA-12-02,CHGA,CHGA-03,"Reese, Nathan",2018-05-21,,,,,1,
GLE-13-05,SANR,SANR-10,"Martin, Ben",2015-07-13,,,,,1,"No information on tree DBH"
GLE-13-05,SANR,SANR-10,"Halstrom, Grant",2018-05-29,,,2,,1,"CANT TELL IF DBH >38 IS 2 OR 11"
GLE-13-05,SANR,SANR-11,"Halstrom, Grant",2018-05-29,39,25,1,,1,"LARK SPARROW 10M FROM THE POINT UNDER A ROCK - 4 FLEDGLINGS!"
GLE-13-05,SANR,SANR-19,"Martin, Ben",2015-07-24,,,,,1,"No data on tree DBH"
GLE-13-05,SANR,SANR-19,"Halstrom, Grant",2018-05-29,,2,,,1,
GLE-13-05,SANR,SANR-06,"Halstrom, Grant",2018-05-29,31,13,4,1,1,
GLE-13-04,SFWO,SFWO-19,"Halstrom, Grant",2018-06-01,2,3,2,,1,
GLE-13-04,SFWO,SFWO-19,"Garcia, Dabid",2022-04-14,1,4,5,1,1,
GLE-13-04,SFWO,SFWO-02,"Halstrom, Grant",2018-06-11,22,23,5,1,1,
GLE-13-04,SFWO,SFWO-04,"Halstrom, Grant",2018-05-30,18,18,10,1,1,
GLE-13-04,SFWO,SFWO-04,"Garcia, Dabid",2022-04-13,17,33,19,1,1,
GLE-13-04,SFWO,SFWO-05,"Halstrom, Grant",2018-05-30,9,9,9,1,1,
GLE-13-04,SFWO,SFWO-05,"Garcia, Dabid",2022-04-13,10,5,7,2,1,
GLE-13-02,DIVR,DIVR-19,"Martin, Ben",2015-06-25,,,,,1,"No info for DBH of trees"
GLE-13-02,DIVR,DIVR-19,"Garcia, Dabid",2022-04-12,51,12,3,2,,
GLE-13-02,DIVR,DIVR-21,"Martin, Ben",2015-07-13,,,,,1,"No info for DBH of trees. Salt lick present on site. A lot of dead/dry forbs."
GLE-13-02,DIVR,DIVR-21,"Garcia, Dabid",2022-04-13,116,51,10,1,1,"Transect crosses dirt road"
GLE-13-02,DIVR,DIVR-04,"Garcia, Dabid",2022-04-12,30,60,25,1,,
GLE-13-02,DIVR,DIVR-05,"Garcia, Dabid",2022-04-12,119,78,26,2,,
GLE-13-03,BORO,BORO-16,"Martin, Ben",2015-07-17,,,,1,1,
GLE-13-03,BORO,BORO-04,"Martin, Ben",2015-07-17,,,,,1,
LAS-13-02,SMCR,SMCR-11,"Russell, Tiffany",2016-05-25,,,,,,
LAS-13-02,SMCR,SMCR-04,"Russell, Tiffany",2016-05-25,,,,,1,"Last year was grazed, rested this year"
LAS-12-07,DRCA,DRCA-10,"Russell, Tiffany",2016-05-23,,,,,,"No grazing in the last 2 years"
LAS-12-07,DRCA,DRCA-09,"Russell, Tiffany",2016-05-23,0,0,0,0,1,"rested from grazing for 2 years"
ELD-14-01,WAKA,WAKA-06,"Fogg, Alissa",2018-05-25,5,,8,,,"Does not appear to have been grazed yet this growing season but sheep were on it last fall."
ELD-14-01,WAKA,WAKA-06,"Fogg, Alissa",2021-06-08,5,3,7,,1,"Was grazed in spring lightly"
